instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Average salary for instructional staff equated to a 9-month contract-total (SAL2019_IS  All full-time instructional staff total),State abbreviation (HD2019),Control of institution (HD2019),Bureau of Economic Analysis (BEA) regions (HD2019),Degree of urbanization (Urban-centric locale) (HD2019),Institution size category (HD2019),Applicants total (ADM2019),Applicants men (ADM2019),Applicants women (ADM2019),Admissions total (ADM2019),Admissions men (ADM2019),Admissions women (ADM2019),Enrolled total (ADM2019),Enrolled  men (ADM2019),Enrolled  women (ADM2019),Number of first-time degree/certificate-seeking students submitting SAT scores (ADM2019),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2019),Number of first-time degree/certificate-seeking students submitting ACT scores (ADM2019),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2019),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2019),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2019),SAT Math 25th percentile score (ADM2019),SAT Math 75th percentile score (ADM2019),ACT Composite 25th percentile score (ADM2019),ACT Composite 75th percentile score (ADM2019),ACT English 25th percentile score (ADM2019),ACT English 75th percentile score (ADM2019),ACT Math 25th percentile score (ADM2019),ACT Math 75th percentile score (ADM2019),Number of programs offered (IC2019_PY),Student-to-faculty ratio (EF2019D),
A T Still University of Health Sciences,,87807,MO,2,4,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaniiih Nakoda College,,41660,MT,1,7,43,1,,,,,,,,,,,,,,,,,,,,,,,,,10,
ABC Adult School,,,CA,1,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,11,4,
ABC Beauty Academy,9556,,TX,3,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,4,11,
ABCO Technology,20748,,CA,3,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,8,12,
Abcott Institute,,,MI,3,3,13,1,,,,,,,,,,,,,,,,,,,,,,,,6,10,
Abilene Christian University,27883,71760,TX,2,6,12,3,11379,4346,7033,6996,2558,4438,932,362,570,442,48,442,48,515,630,500,600,21,28,19,28,18,26,,15,
Abraham Baldwin Agricultural College,,51552,GA,1,5,32,2,2009,839,1169,1475,653,822,919,430,489,565,65,394,45,470,580,460,540,17,22,15,22,16,21,,17,
Abraham Lincoln University,13773,,CA,3,8,12,1,,,,,,,,,,,,,,,,,,,,,,,,,3,
Academy College,23573,33750,MN,3,4,13,1,,,,,,,,,,,,,,,,,,,,,,,,,9,
Academy Di Capelli-School of Cosmetology,12064,,CT,3,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,3,9,
Academy di Firenze,9415,,ID,3,7,33,1,,,,,,,,,,,,,,,,,,,,,,,,6,8,
Academy for Careers and Technology,,,SC,1,5,41,1,,,,,,,,,,,,,,,,,,,,,,,,1,10,
Academy for Five Element Acupuncture,,,FL,2,5,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Jewish Religion-California,,,CA,2,8,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Nursing and Health Occupations,20603,59666,FL,2,5,21,1,,,,,,,,,,,,,,,,,,,,,,,,5,27,
Academy for Salon Professionals,12892,,CA,3,8,11,1,,,,,,,,,,,,,,,,,,,,,,,,2,13,
Academy of Art University,31759,77276,CA,3,8,11,3,,,,,,,,,,,,,,,,,,,,,,,,,14,
Academy of Career Training,7601,,FL,3,5,13,1,,,,,,,,,,,,,,,,,,,,,,,,6,12,
Academy of Careers and Technology,,,WV,1,5,13,1,,,,,,,,,,,,,,,,,,,,,,,,19,10,
Academy of Chinese Culture and Health Sciences,,,CA,2,8,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology,9647,,MT,3,7,33,1,,,,,,,,,,,,,,,,,,,,,,,,1,23,
Academy of Cosmetology,18128,,FL,3,5,21,1,,,,,,,,,,,,,,,,,,,,,,,,7,12,
Academy of Cosmetology and Esthetics NYC,17253,,NY,3,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,1,10,
Academy of Esthetics and Cosmetology,10495,,CA,3,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,4,25,
Academy of Hair Design-Beaumont,6922,,TX,3,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,
Academy of Hair Design-Grenada,17665,,MS,3,5,41,1,,,,,,,,,,,,,,,,,,,,,,,,2,15,
Academy of Hair Design-Jackson,17095,,MS,3,5,12,1,,,,,,,,,,,,,,,,,,,,,,,,2,15,
Academy of Hair Design-Jasper,6492,,TX,3,6,33,1,,,,,,,,,,,,,,,,,,,,,,,,3,12,
Academy of Hair Design-Las Vegas,16136,,NV,3,8,11,1,,,,,,,,,,,,,,,,,,,,,,,,4,11,
Academy of Hair Design-Lufkin,6644,,TX,3,6,33,1,,,,,,,,,,,,,,,,,,,,,,,,3,10,
Academy of Hair Design-Oklahoma City,13129,,OK,3,6,11,1,,,,,,,,,,,,,,,,,,,,,,,,2,14,
Academy of Hair Design-Pearl,17874,,MS,3,5,21,1,,,,,,,,,,,,,,,,,,,,,,,,2,10,
Academy of Hair Design-Springfield,15892,,MO,3,4,12,1,,,,,,,,,,,,,,,,,,,,,,,,4,15,
Academy of Hair Technology,13005,,SC,3,5,21,1,,,,,,,,,,,,,,,,,,,,,,,,3,15,
Academy of Interactive Entertainment,24516,45563,LA,2,5,12,1,102,73,29,88,60,28,57,39,18,,,,,,,,,,,,,,,,26,
Academy of Interactive Entertainment,27281,,WA,2,8,11,1,104,84,20,96,77,19,60,46,14,,,,,,,,,,,,,,,,22,
Academy of Massage and Bodywork,,,DE,3,2,21,1,,,,,,,,,,,,,,,,,,,,,,,,2,7,
Academy of Natural Therapy Inc,,,CO,3,7,12,1,,,,,,,,,,,,,,,,,,,,,,,,1,10,
Academy of Professional Cosmetology,2621,,AR,3,5,13,1,,,,,,,,,,,,,,,,,,,,,,,,4,12,
Academy of Salon and Spa,11466,,AR,3,5,13,1,,,,,,,,,,,,,,,,,,,,,,,,3,21,
Academy of Salon Professionals,10841,,MO,3,4,33,1,,,,,,,,,,,,,,,,,,,,,,,,4,12,
Acaydia School of Aesthetics,12309,,UT,3,7,12,1,,,,,,,,,,,,,,,,,,,,,,,,3,10,
Access Careers,,,NY,3,2,21,1,,,,,,,,,,,,,,,,,,,,,,,,4,13,
Access Careers-Islandia,,,NY,3,2,21,1,,,,,,,,,,,,,,,,,,,,,,,,4,13,
Ace Cosmetology and Barber Training Center,21180,,CT,3,1,22,1,,,,,,,,,,,,,,,,,,,,,,,,2,15,
Ace Institute of Technology,28519,,NY,3,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,5,11,
Acupuncture and Integrative Medicine College-Berkeley,,,CA,2,8,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acupuncture and Massage College,23485,47552,FL,3,5,13,1,,,,,,,,,,,,,,,,,,,,,,,,,16,
Adams State University,,56736,CO,1,7,33,2,1765,719,1046,1749,711,1038,399,190,209,284,71,118,30,450,550,440,540,17,22,15,21,16,22,,15,
Adelphi University,28130,113076,NY,2,2,21,3,13919,4701,9218,10342,3244,7098,1132,342,790,943,84,212,19,530,630,530,620,21,27,22,29,19,26,,11,
Adirondack Community College,,62002,NY,1,2,23,2,,,,,,,,,,,,,,,,,,,,,,,,,15,
Adler Graduate School,,52179,MN,2,4,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler University,,73421,IL,2,3,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian College,24520,75539,MI,2,3,32,2,5219,3113,2106,2919,1642,1277,555,303,252,424,78,116,21,480,580,480,520,19,24,16,24,17,25,,13,
Adrian's College of Beauty Turlock,16080,,CA,3,8,23,1,,,,,,,,,,,,,,,,,,,,,,,,4,13,
Adult and Community Education-Hudson,,,OH,1,3,11,1,6,1,5,6,1,5,6,1,5,,,,,,,,,,,,,,,1,15,
Adult and Continuing Education-BCTS,,,NJ,1,2,21,1,,,,,,,,,,,,,,,,,,,,,,,,4,23,
Advance Beauty College,,,CA,3,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,6,30,
Advance Beauty Techs Academy,16429,,CA,3,8,12,1,,,,,,,,,,,,,,,,,,,,,,,,5,20,
Advance Science International College,25197,10746,FL,3,5,21,1,,,,,,,,,,,,,,,,,,,,,,,,2,15,
Advanced Barber College and Hair Design,18352,,TX,3,6,21,1,,,,,,,,,,,,,,,,,,,,,,,,3,20,
Advanced Beauty College,5892,,TX,3,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,3,6,
Advanced Career Institute,14991,,CA,3,8,12,1,,,,,,,,,,,,,,,,,,,,,,,,10,14,
Advanced College,23915,71268,CA,3,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,5,1,
Advanced College of Cosmetology,11409,,WI,3,3,32,1,,,,,,,,,,,,,,,,,,,,,,,,1,6,
Advanced Technology Institute,18599,40512,VA,3,5,11,1,430,389,41,206,190,16,154,143,11,,,,,,,,,,,,,,,,14,
Advanced Training Associates,12745,34250,CA,3,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,10,18,
Advanced Training Institute,,,NV,3,8,12,1,,,,,,,,,,,,,,,,,,,,,,,,4,11,
Advanced Welding Institute,21339,,VT,3,1,13,1,,,,,,,,,,,,,,,,,,,,,,,,2,10,
