instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),State abbreviation (HD2019),Degree of urbanization (Urban-centric locale) (HD2019),Bureau of Economic Analysis (BEA) regions (HD2019),Institution size category (HD2019),Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Average salary equated to 9 months of full-time instructional staff - all ranks (DRVHR2019),Applicants total (ADM2019),Applicants men (ADM2019),Applicants women (ADM2019),Admissions total (ADM2019),Admissions men (ADM2019),Admissions women (ADM2019),Enrolled total (ADM2019),Enrolled  men (ADM2019),Enrolled  women (ADM2019),Number of first-time degree/certificate-seeking students submitting SAT scores (ADM2019),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2019),Number of first-time degree/certificate-seeking students submitting ACT scores (ADM2019),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2019),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2019),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2019),SAT Math 25th percentile score (ADM2019),SAT Math 75th percentile score (ADM2019),ACT Composite 25th percentile score (ADM2019),ACT Composite 75th percentile score (ADM2019),ACT English 25th percentile score (ADM2019),ACT English 75th percentile score (ADM2019),ACT Math 25th percentile score (ADM2019),ACT Math 75th percentile score (ADM2019),Student-to-faculty ratio (EF2019D)
A T Still University of Health Sciences,-92.589183,40.193648,MO,33,4,2,,87807,,,,,,,,,,,,,,,,,,,,,,,,
Aaniiih Nakoda College,-108.757816,48.484196,MT,43,7,1,7472,41660,,,,,,,,,,,,,,,,,,,,,,,,10
ABC Adult School,-118.070114,33.878179,CA,21,8,1,6500,,,,,,,,,,,,,,,,,,,,,,,,,4
ABC Beauty Academy,-96.685333,32.931698,TX,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,11
ABCO Technology,-118.369774,33.932121,CA,21,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,12
Abcott Institute,-83.210617,42.446331,MI,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
Abilene Christian University,-99.709797,32.468943,TX,12,6,3,,71760,11379,4346,7033,6996,2558,4438,932,362,570,442,48,442,48,515,630,500,600,21,28,19,28,18,26,15
Abraham Baldwin Agricultural College,-83.528281,31.481889,GA,32,5,2,6823,51552,2009,839,1169,1475,653,822,919,430,489,565,65,394,45,470,580,460,540,17,22,15,22,16,21,17
Abraham Lincoln University,-118.256726,34.146294,CA,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
Academy College,-93.299809,44.855722,MN,13,4,1,,33750,,,,,,,,,,,,,,,,,,,,,,,,9
Academy Di Capelli-School of Cosmetology,-72.806335,41.490402,CT,21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,9
Academy di Firenze,-114.519826,42.723871,ID,33,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,8
Academy for Careers and Technology,-79.340157,34.186433,SC,41,5,1,8034,,,,,,,,,,,,,,,,,,,,,,,,,10
Academy for Five Element Acupuncture,-82.321994,29.650075,FL,12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Jewish Religion-California,-118.438495,34.070281,CA,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Nursing and Health Occupations,-80.121497,26.70653,FL,21,5,1,,59666,,,,,,,,,,,,,,,,,,,,,,,,27
Academy for Salon Professionals,-118.558215,34.23396,CA,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,13
Academy of Art University,-122.400578,37.787943,CA,11,8,3,,77276,,,,,,,,,,,,,,,,,,,,,,,,14
Academy of Career Training,-81.439569,28.306092,FL,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,12
Academy of Careers and Technology,-81.165435,37.795299,WV,13,5,1,3719,,,,,,,,,,,,,,,,,,,,,,,,,10
Academy of Chinese Culture and Health Sciences,-122.269839,37.805972,CA,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Cosmetology,-80.70372,28.394053,FL,21,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,12
Academy of Cosmetology,-111.039848,45.680544,MT,33,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,23
Academy of Cosmetology and Esthetics NYC,-74.114517,40.573227,NY,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
Academy of Esthetics and Cosmetology,-118.444228,34.285043,CA,21,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,25
Academy of Hair Design-Beaumont,-94.122703,30.067405,TX,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
Academy of Hair Design-Grenada,-89.825313,33.775198,MS,41,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,15
Academy of Hair Design-Jackson,-90.147044,32.376376,MS,12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,15
Academy of Hair Design-Jasper,-94.004879,30.908648,TX,33,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,12
Academy of Hair Design-Las Vegas,-115.210473,36.15846,NV,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,11
Academy of Hair Design-Lufkin,-94.718704,31.330724,TX,33,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
Academy of Hair Design-Oklahoma City,-97.566146,35.591351,OK,11,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,14
Academy of Hair Design-Pearl,-90.115129,32.281983,MS,21,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
Academy of Hair Design-Springfield,-93.261354,37.180584,MO,12,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,15
Academy of Hair Technology,-82.327426,34.874681,SC,21,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,15
Academy of Interactive Entertainment,-122.351158,47.621224,WA,11,8,1,,,104,84,20,96,77,19,60,46,14,,,,,,,,,,,,,,,22
Academy of Interactive Entertainment,-92.043315,30.220037,LA,12,5,1,,45563,102,73,29,88,60,28,57,39,18,,,,,,,,,,,,,,,26
Academy of Massage and Bodywork,-75.666786,39.628779,DE,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,7
Academy of Natural Therapy Inc,-104.691075,40.426259,CO,12,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
Academy of Professional Cosmetology,-94.157411,36.35541,AR,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,12
Academy of Salon and Spa,-94.41616,35.38097,AR,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,21
Academy of Salon Professionals,-93.251559,38.690729,MO,33,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,12
Acaydia School of Aesthetics,-111.65823,40.234627,UT,12,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
Access Careers,-73.61531,40.709502,NY,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,13
Access Careers-Islandia,-73.175617,40.800874,NY,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,13
Ace Cosmetology and Barber Training Center,-72.987416,41.593956,CT,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,15
Ace Institute of Technology,-73.993385,40.753658,NY,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,11
Acupuncture and Integrative Medicine College-Berkeley,-122.267636,37.862754,CA,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acupuncture and Massage College,-80.364141,25.686382,FL,13,5,1,,47552,,,,,,,,,,,,,,,,,,,,,,,,16
Adams State University,-105.879642,37.473636,CO,33,7,2,13383,56736,1765,719,1046,1749,711,1038,399,190,209,284,71,118,30,450,550,440,540,17,22,15,21,16,22,15
Adelphi University,-73.653321,40.721439,NY,21,2,3,,113076,13919,4701,9218,10342,3244,7098,1132,342,790,943,84,212,19,530,630,530,620,21,27,22,29,19,26,11
Adirondack Community College,-73.654813,43.351839,NY,23,2,2,8109,62002,,,,,,,,,,,,,,,,,,,,,,,,15
Adler Graduate School,-93.410236,44.893479,MN,13,4,1,,52179,,,,,,,,,,,,,,,,,,,,,,,,
Adler University,-87.629156,41.882414,IL,11,3,2,,73421,,,,,,,,,,,,,,,,,,,,,,,,
Adrian College,-84.061481,41.898591,MI,32,3,2,,75539,5219,3113,2106,2919,1642,1277,555,303,252,424,78,116,21,480,580,480,520,19,24,16,24,17,25,13
Adrian's College of Beauty Turlock,-120.863784,37.491448,CA,23,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,13
Adult and Community Education-Hudson,-82.980603,40.012851,OH,11,3,1,12984,,6,1,5,6,1,5,6,1,5,,,,,,,,,,,,,,,15
Adult and Continuing Education-BCTS,-74.035045,40.900877,NJ,21,2,1,15073,,,,,,,,,,,,,,,,,,,,,,,,,23
Advance Beauty College,-117.952637,33.759905,CA,21,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,30
Advance Beauty Techs Academy,-117.517655,33.884074,CA,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,20
Advance Science International College,-80.284567,25.924708,FL,21,5,1,,10746,,,,,,,,,,,,,,,,,,,,,,,,15
Advanced Barber College and Hair Design,-97.958247,26.131543,TX,21,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,20
Advanced Beauty College,-96.9927,32.859493,TX,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,6
Advanced Career Institute,-119.38533,36.344669,CA,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,14
Advanced College,-118.15794,33.915383,CA,21,8,1,,71268,,,,,,,,,,,,,,,,,,,,,,,,1
Advanced College of Cosmetology,-88.736198,43.632848,WI,32,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,6
Advanced Technology Institute,-76.182268,36.841381,VA,11,5,1,,40512,430,389,41,206,190,16,154,143,11,,,,,,,,,,,,,,,14
Advanced Training Associates,-116.981781,32.819023,CA,21,8,1,,34250,,,,,,,,,,,,,,,,,,,,,,,,18
Advanced Training Institute,-115.206821,36.09589,NV,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,11
Advanced Welding Institute,-73.139437,44.45588,VT,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
Advantage Career Institute,-74.049694,40.279075,NJ,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,17
AdventHealth University,-81.367687,28.576142,FL,11,5,2,,71620,283,45,238,143,29,114,64,14,50,59,95,29,47,510,600,510,560,18,21,19,23,18,21,6
Aesthetic Science Institute,-73.794947,42.76194,NY,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,16
Agnes Scott College,-84.295459,33.769268,GA,21,5,2,,82603,1751,0,1751,1135,,1135,299,,299,,,,,,,,,,,,,,,10
