Rank,national_rank,region_id,urbanization_id,size_id,average_salary_instructional_staff_equated_9_month_contract,totalapplicants,totaladmissions,maleenrolled,femaleenrolled,percent_first_year_submitting_SAT,percent_first_year_submitting_ACT,SAT_writing_25,SAT_writing_75,SAT_math_25,SAT_math_75,ACT_composite_25,ACT_composite_75,ACT_english_25,ACT_english_75,ACT_math_25,ACT_math_75,student_faculty_ratio,schooltype,startingmedsalary,midcareermedsalary,midcareer10salary,midcareer25salary,midcareer75salary,midcareer90salary
Auburn University,171,5,13,5,82941,16958,14154,2241,2351,17,83,520,630,530,645,24,30,24,32,23,28,17,State,45400,84700,45400,62700,109000,145000
Baylor University,153,6,12,4,82704,33898,18766,1501,2124,47,53,560,660,570,670,24,30,24,31,24,29,15,,,,,,,
Binghamton University,178,2,22,4,92656,28518,12564,1322,1280,94,37,590,670,620,700,27,30,,,,,20,State,53600,95900,50900,71200,146000,201000
Boston College,124,1,13,4,114688,23223,7875,1016,1272,69,49,630,720,640,740,30,33,30,34,28,33,15,,,,,,,
Boston University,44,1,11,5,106881,54190,18701,1470,2445,81,34,570,680,620,730,27,31,27,33,26,31,13,,,,,,,
Brandeis University,97,1,13,3,103510,10004,3523,377,482,70,26,590,710,660,770,29,33,29,34,28,33,10,,,,,,,
Brown University,51,1,12,3,116131,30431,2661,764,797,77,40,660,770,670,780,30,34,30,35,28,34,9,Ivy League,56200,109000,55400,74400,159000,228000
California Institute of Technology,10,8,12,2,148763,6525,576,136,90,88,41,730,800,770,800,34,35,34,35,35,36,3,Engineering,75500,123000,,104000,161000,
Carnegie Mellon University,35,2,11,4,115011,19812,4874,813,661,87,35,640,740,700,800,30,34,30,35,31,35,10,Engineering,61800,111000,63300,80100,150000,209000
Case Western Reserve University,54,3,11,4,96316,21733,8326,701,581,60,59,610,710,660,760,29,33,29,34,29,34,11,,,,,,,
Clarkson University,212,2,33,2,89197,7401,4599,524,243,88,42,520,620,570,670,24,29,22,28,25,30,14,,,,,,,
Clemson University,163,5,21,5,80200,20756,10694,1726,1749,59,41,560,660,590,680,26,31,,,,,16,State,48400,86000,50500,61800,111000,150000
Colorado School of Mines,131,7,21,3,90175,12340,4501,737,262,33,86,590,680,640,720,28,32,26,32,28,33,16,Engineering,58100,106000,62200,87900,142000,201000
Cornell University,9,2,13,5,121471,43037,6105,1577,1648,82,41,650,740,680,770,30,34,,,,,9,Ivy League,60300,110000,56800,79800,160000,210000
Creighton University,160,4,11,3,77827,8398,6103,449,576,28,87,520,630,550,665,24,29,24,31,24,29,11,,,,,,,
