instnm,Latitude location of institution (HD2014),Longitude location of institution (HD2014),Bureau of Economic Analysis (BEA) Regions (HD2014),Degree of urbanization (Urban-centric locale) (HD2014),State abbreviation (HD2014),Institution size category (HD2014),Applicants total (ADM2014_RV),Admissions total (ADM2014_RV),Enrolled  men (ADM2014_RV),Enrolled  women (ADM2014_RV),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2014_RV),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2014_RV),SAT Critical Reading 25th percentile score (ADM2014_RV),SAT Critical Reading 75th percentile score (ADM2014_RV),SAT Math 25th percentile score (ADM2014_RV),SAT Math 75th percentile score (ADM2014_RV),ACT Composite 25th percentile score (ADM2014_RV),ACT Composite 75th percentile score (ADM2014_RV),ACT English 25th percentile score (ADM2014_RV),ACT English 75th percentile score (ADM2014_RV),ACT Math 25th percentile score (ADM2014_RV),ACT Math 75th percentile score (ADM2014_RV),Student-to-faculty ratio (EF2014D_RV),Average salary of full time instructional faculty total (SAL2011_A_RV  All full-time instructional staff total  Equated 9-month contract),
A T Still University of Health Sciences,40.193648,-92.589183,4,33,MO,2,,,,,,,,,,,,,,,,,,61423,
Aaniiih Nakoda College,48.533090,-108.783640,7,43,MT,1,,,,,,,,,,,,,,,,,10,38258,
ABC Adult School,,,,,,,,,,,,,,,,,,,,,,,,,
ABC Beauty Academy,32.929810,-96.684271,6,21,TX,1,,,,,,,,,,,,,,,,,13,,
ABCO Technology,,,,,,,,,,,,,,,,,,,,,,,,,
Abcott Institute,42.446390,-83.210611,3,13,MI,1,,,,,,,,,,,,,,,,,18,,
Abilene Christian University,32.469150,-99.709540,6,12,TX,2,9384,4736,410,564,48,52,470,590,490,600,21,27,21,27,21,27,14,65786,
Abraham Baldwin Agricultural College,31.481889,-83.528281,5,32,GA,2,2801,2164,627,735,73,39,410,520,410,510,17,22,15,22,16,22,22,46484,
Abraham Lincoln University,,,,,,,,,,,,,,,,,,,,,,,,,
Academy College,44.855247,-93.299662,4,13,MN,1,,,,,,,,,,,,,,,,,8,,
Academy Di Capelli-School of Cosmetology,41.489905,-72.806897,1,21,CT,1,,,,,,,,,,,,,,,,,7,,
