world_rank,institution,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score
1,Harvard University,USA,1,2,1,1,1,100
2,Massachusetts Institute of Technology,USA,2,1,10,2,5,96.7
3,Stanford University,USA,3,9,3,3,2,95.2
6,Columbia University,USA,4,13,12,8,12,92.6
7,Princeton University,USA,5,6,14,6,54,92
8,"University of California, Berkeley",USA,6,5,48,9,6,91.6
9,University of Pennsylvania,USA,7,15,8,30,14,91.1
10,University of Chicago,USA,8,11,18,19,16,90.7
11,California Institute of Technology,USA,9,3,179,4,52,90.4
12,Yale University,USA,10,8,32,12,17,90.1
14,Cornell University,USA,11,12,26,13,22,89.5
15,Northwestern University,USA,12,160,16,31,24,89.3
16,"University of California, Los Angeles",USA,13,32,57,15,10,89
17,"University of Michigan, Ann Arbor",USA,14,35,35,85,9,88.8
18,Johns Hopkins University,USA,15,31,164,20,7,88.6
19,University of Washington - Seattle,USA,16,47,208,14,8,88.4
20,University of Illinois at Urbana–Champaign,USA,17,16,129,17,46,88.2
23,Duke University,USA,18,100,46,25,20,87.7
25,University of Wisconsin–Madison,USA,19,28,80,35,27,87.3
26,New York University,USA,20,64,39,37,39,87.2
27,University of California San Diego,USA,21,67,,16,15,87.1
31,University of Texas at Austin,USA,22,72,58,43,44,86.5
34,"University of California, San Francisco",USA,23,,,11,21,86.2
36,University of North Carolina at Chapel Hill,USA,24,214,107,46,28,85.9
38,University of Minnesota - Twin Cities,USA,25,77,291,90,25,85.7
40,University of Texas Southwestern Medical Center,USA,26,19,,21,142,85.5
41,Washington University in St. Louis,USA,27,150,163,42,35,85.4
44,University of Southern California,USA,28,271,115,23,66,85.2
45,Brown University,USA,29,66,49,81,118,85.1
46,Vanderbilt University,USA,30,387,86,51,65,85
47,Pennsylvania State University,USA,31,320,161,52,45,84.9
48,Rutgers University–New Brunswick,USA,32,190,96,44,70,84.8
49,Dartmouth College,USA,33,109,17,131,243,84.7
50,"University of California, Davis",USA,34,97,565,56,43,84.6
53,University of Virginia,USA,35,315,30,136,121,84.4
54,Ohio State University,USA,36,113,233,113,32,84.3
57,University of Colorado Boulder,USA,37,139,168,29,81,84.1
61,Purdue University,USA,38,107,76,64,102,83.8
63,University of Pittsburgh,USA,39,237,210,149,30,83.7
65,"University of California, Irvine",USA,40,,1427,22,85,83.6
66,"University of California, Santa Barbara",USA,41,74,534,26,115,83.5
67,Rockefeller University,USA,42,20,,7,336,83.5
69,University of Arizona,USA,43,276,180,47,86,83.3
74,Boston University,USA,44,487,112,144,62,83
81,University of Florida,USA,45,243,453,124,55,82.7
82,Georgia Institute of Technology,USA,46,193,156,91,93,82.6
83,University of Utah,USA,47,152,175,88,97,82.6
84,Carnegie Mellon University,USA,48,71,140,38,169,82.5
87,"Texas A&M University, College Station",USA,49,,155,83,105,82.4
90,Emory University,USA,50,430,202,182,57,82.2
93,University of Texas MD Anderson Cancer Center,USA,51,,,59,100,82.1
94,Tufts University,USA,52,44,62,127,207,82
97,University of Rochester,USA,53,65,70,198,136,81.9
99,"University of Maryland, College Park",USA,54,106,438,201,60,81.8
109,Rice University,USA,55,102,81,70,190,81.4
114,Case Western Reserve University,USA,56,46,244,195,127,81.2
123,Baylor College of Medicine,USA,57,175,,101,125,80.9
140,University of Notre Dame,USA,58,147,33,,277,80.3
142,University of Iowa,USA,59,197,300,142,134,80.2
147,Brandeis University,USA,60,21,227,27,520,80.1
148,Icahn School of Medicine at Mount Sinai,USA,61,,,210,107,80.1
149,University of Colorado Denver | Anschutz Medical Campus,USA,62,,,100,154,80
152,Indiana University Bloomington,USA,63,162,75,188,193,79.9
153,Michigan State University,USA,64,263,258,,110,79.9
159,University of Massachusetts Amherst,USA,65,322,241,102,188,79.7
166,Arizona State University,USA,66,,756,200,130,79.5
173,Iowa State University,USA,67,325,203,137,192,79.4
174,North Carolina State University,USA,68,369,404,140,172,79.3
182,University of Missouri–Columbia,USA,69,447,206,63,267,79.1
193,Stony Brook University,USA,70,252,,159,181,78.9
197,University of Alabama at Birmingham,USA,71,,986,,146,78.8
200,University of Texas Health Science Center at Houston,USA,72,,,96,246,78.7
201,University of Miami,USA,73,,237,,163,78.7
203,Georgetown University,USA,74,478,51,,292,78.6
204,"University of California, Riverside",USA,75,250,,167,195,78.6
206,Virginia Commonwealth University,USA,76,,983,74,278,78.6
207,University of Georgia,USA,77,348,319,196,194,78.5
208,"University of California, Santa Cruz",USA,78,264,,151,205,78.5
214,University of Massachusetts Medical School,USA,79,,,45,314,78.4
215,University of Kansas,USA,80,370,289,146,231,78.4
216,Oregon Health & Science University,USA,81,,,212,177,78.3
220,University of Illinois at Chicago,USA,82,359,1056,,160,78.2
224,Wake Forest University,USA,83,,68,,284,78.2
229,Yeshiva University,USA,84,142,,204,206,78.1
231,University of Cincinnati,USA,85,357,204,,203,78
233,Colorado State University,USA,86,332,1190,157,235,78
234,University of Houston,USA,87,,118,106,340,78
247,University of Delaware,USA,88,360,691,107,311,77.7
248,Oregon State University,USA,89,328,522,169,262,77.7
253,"University of Maryland, Baltimore",USA,90,,,,209,77.6
258,University of Connecticut,USA,91,431,380,,225,77.5
260,Florida State University,USA,92,,619,,219,77.5
264,Indiana University – Purdue University Indianapolis,USA,93,,912,,217,77.4
269,University at Buffalo,USA,94,,661,,222,77.3
271,Virginia Tech,USA,95,339,296,,242,77.3
273,"University of Tennessee, Knoxville",USA,96,472,333,,241,77.2
276,University of New Mexico,USA,97,,,,233,77.2
279,Wayne State University,USA,98,445,265,,254,77.1
280,University of South Florida,USA,99,,729,,237,77.1
283,Washington State University,USA,100,269,786,141,310,77
287,George Washington University,USA,101,327,170,,286,77
288,University of Kentucky,USA,102,313,513,,250,77
289,Louisiana State University,USA,103,416,335,,256,76.9
298,University of Nebraska–Lincoln,USA,104,259,374,,276,76.8
304,Northeastern University,USA,105,362,157,,306,76.7
